Genotype	Replicate	ID	Chamber	Species	Census	Growth.days	Juvenile	Apterous	Alate	Sum
15	12	15_12	1	M.per	2	7	27	6	0	33
15	12	15_12	1	M.per	3	10	53	6	0	59
15	12	15_12	1	M.per	4	14	93	18	0	111
15	12	15_12	1	M.per	5	18	112	17	0	129
15	13	15_13	2	M.per	1	4	8	5	0	13
15	13	15_13	2	M.per	2	7	29	5	0	34
15	13	15_13	2	M.per	3	10	79	7	0	86
15	13	15_13	2	M.per	4	13	120	21	0	141
15	13	15_13	2	M.per	5	17	227	32	0	259
15	14	15_14	1	A.asc	1	4	14	5	0	19
15	14	15_14	1	A.asc	2	7	36	7	0	43
15	14	15_14	1	A.asc	3	10	59	8	0	67
15	14	15_14	1	A.asc	4	14	192	22	3	217
15	14	15_14	1	A.asc	5	18	189	24	1	214
15	15	15_15	2	A.asc	1	4	23	5	0	28
15	15	15_15	2	A.asc	2	7	50	10	0	60
15	15	15_15	2	A.asc	3	10	99	14	1	114
15	15	15_15	2	A.asc	4	13	165	25	2	192
15	15	15_15	2	A.asc	5	17	362	61	20	443
15	16	15_16	1	M.asc	1	3	31	0	5	36
15	16	15_16	1	M.asc	2	6	92	0	5	97
15	16	15_16	1	M.asc	3	9	126	0	2	128
15	16	15_16	1	M.asc	4	12	188	0	29	217
15	16	15_16	1	M.asc	5	16	295	0	57	352
15	17	15_17	1	A.ner	1	3	7	5	1	13
15	17	15_17	1	A.ner	2	6	35	4	1	40
15	17	15_17	1	A.ner	3	9	65	16	1	82
15	17	15_17	1	A.ner	4	13	253	26	0	279
15	17	15_17	1	A.ner	5	17	517	32	2	551
15	18	15_18	1	M.per	1	4	29	5	0	34
15	18	15_18	1	M.per	2	7	61	5	0	66
15	18	15_18	1	M.per	3	10	65	17	0	82
15	18	15_18	1	M.per	4	14	198	32	0	230
15	18	15_18	1	M.per	5	18	206	32	0	238
17	1	17_01	1	A.asc	1	4	11	5	0	16
17	1	17_01	1	A.asc	2	7	29	4	0	33
17	1	17_01	1	A.asc	3	10	32	10	0	42
17	1	17_01	1	A.asc	4	13	74	17	3	94
17	1	17_01	1	A.asc	5	17	101	31	13	145
17	2	17_02	2	M.per	1	4	5	5	0	10
17	2	17_02	2	M.per	2	7	42	8	0	50
17	2	17_02	2	M.per	3	10	57	6	0	63
17	2	17_02	2	M.per	4	13	39	16	0	55
17	2	17_02	2	M.per	5	17	101	17	0	118
17	3	17_03	2	A.ner	1	4	16	5	0	21
17	3	17_03	2	A.ner	2	6	21	8	0	29
17	3	17_03	2	A.ner	3	9	136	12	0	148
17	3	17_03	2	A.ner	4	12	338	21	1	360
17	3	17_03	2	A.ner	5	16	382	21	16	419
17	4	17_04	1	M.asc	1	3	17	0	4	21
17	4	17_04	1	M.asc	2	6	22	0	4	26
17	4	17_04	1	M.asc	3	9	7	0	4	11
17	4	17_04	1	M.asc	4	13	2	0	3	5
17	4	17_04	1	M.asc	5	17	1	0	3	4
17	6	17_06	1	M.per	1	4	28	5	0	33
17	6	17_06	1	M.per	2	7	28	5	0	33
17	6	17_06	1	M.per	3	10	68	17	0	85
17	6	17_06	1	M.per	4	13	155	21	0	176
17	6	17_06	1	M.per	5	17	172	16	0	188
17	7	17_07	1	A.ner	1	3	4	4	1	9
17	7	17_07	1	A.ner	2	6	34	4	1	39
17	7	17_07	1	A.ner	3	9	48	6	1	55
17	7	17_07	1	A.ner	4	13	66	11	1	78
17	7	17_07	1	A.ner	5	17	128	10	3	141
17	8	17_08	2	M.asc	1	5	7	0	3	10
17	8	17_08	2	M.asc	2	7	5	0	3	8
17	8	17_08	2	M.asc	3	10	18	0	3	21
17	8	17_08	2	M.asc	4	13	5	0	3	8
17	8	17_08	2	M.asc	5	17	9	0	3	12
17	9	17_09	1	M.asc	1	3	4	0	5	9
17	9	17_09	1	M.asc	2	6	37	0	5	42
17	9	17_09	1	M.asc	3	9	59	0	5	64
17	9	17_09	1	M.asc	4	13	61	0	11	72
17	9	17_09	1	M.asc	5	17	36	0	31	67
17	10	17_10	2	A.asc	1	4	11	4	1	16
17	10	17_10	2	A.asc	2	7	22	5	2	29
17	10	17_10	2	A.asc	3	10	53	3	2	58
17	10	17_10	2	A.asc	4	13	69	14	2	85
17	10	17_10	2	A.asc	5	17	203	28	6	237
17	11	17_11	1	M.per	1	4	10	5	0	15
17	11	17_11	1	M.per	2	7	27	5	0	32
17	11	17_11	1	M.per	3	10	35	7	0	42
17	11	17_11	1	M.per	4	14	66	12	0	78
17	11	17_11	1	M.per	5	18	123	14	0	137
17	12	17_12	1	A.ner	1	3	5	5	0	10
17	12	17_12	1	A.ner	2	6	32	6	0	38
17	12	17_12	1	A.ner	3	9	31	4	0	35
17	12	17_12	1	A.ner	4	13	101	16	8	125
17	12	17_12	1	A.ner	5	17	325	33	29	387
17	13	17_13	2	M.per	1	4	5	5	0	10
17	13	17_13	2	M.per	2	7	42	5	0	47
17	13	17_13	2	M.per	3	10	74	12	0	86
17	13	17_13	2	M.per	4	13	171	18	0	189
17	13	17_13	2	M.per	5	17	372	40	1	413
17	14	17_14	2	A.ner	1	3	1	5	0	6
17	14	17_14	2	A.ner	2	6	39	4	2	45
17	14	17_14	2	A.ner	3	9	75	7	2	84
17	14	17_14	2	A.ner	4	12	150	14	6	170
17	14	17_14	2	A.ner	5	16	337	34	16	387
17	15	17_15	2	A.asc	1	4	19	3	2	24
17	15	17_15	2	A.asc	2	7	48	3	2	53
17	15	17_15	2	A.asc	3	10	62	8	2	72
17	15	17_15	2	A.asc	4	13	59	9	3	71
17	15	17_15	2	A.asc	5	17	149	26	2	177
17	17	17_17	2	M.asc	1	4	21	0	1	22
17	17	17_17	2	M.asc	2	7	31	0	3	34
17	17	17_17	2	M.asc	3	10	36	0	8	44
17	17	17_17	2	M.asc	4	13	48	0	4	52
17	17	17_17	2	M.asc	5	17	27	0	9	36
17	18	17_18	1	A.asc	1	4	11	5	0	16
17	18	17_18	1	A.asc	2	7	24	5	0	29
17	18	17_18	1	A.asc	3	10	34	9	0	43
17	18	17_18	1	A.asc	4	13	65	15	0	80
17	18	17_18	1	A.asc	5	18	205	23	5	233
21	1	21_01	2	M.per	1	4	18	4	0	22
21	1	21_01	2	M.per	2	7	32	9	0	41
21	1	21_01	2	M.per	3	10	66	9	0	75
21	1	21_01	2	M.per	4	13	139	19	0	158
21	1	21_01	2	M.per	5	17	193	59	0	252
21	2	21_02	2	A.ner	1	3	17	5	0	22
21	2	21_02	2	A.ner	2	6	48	9	0	57
21	2	21_02	2	A.ner	3	9	127	15	3	145
21	2	21_02	2	A.ner	4	12	465	13	2	480
21	2	21_02	2	A.ner	5	16	693	74	49	816
21	3	21_03	2	A.asc	1	4	7	4	2	13
21	3	21_03	2	A.asc	2	7	21	2	1	24
21	3	21_03	2	A.asc	3	10	37	8	2	47
21	3	21_03	2	A.asc	4	13	31	11	0	42
21	3	21_03	2	A.asc	5	17	128	12	0	140
21	5	21_05	1	A.asc	1	4	5	4	1	10
21	5	21_05	1	A.asc	2	7	17	4	0	21
21	5	21_05	1	A.asc	3	10	20	7	1	28
21	5	21_05	1	A.asc	4	13	54	15	0	69
21	5	21_05	1	A.asc	5	17	132	25	0	157
21	6	21_06	2	A.asc	1	4	2	5	0	7
21	6	21_06	2	A.asc	2	7	12	5	0	17
21	6	21_06	2	A.asc	3	10	18	6	2	26
21	6	21_06	2	A.asc	4	13	8	6	0	14
21	6	21_06	2	A.asc	5	17	48	14	0	62
21	7	21_07	2	M.per	1	4	21	5	0	26
21	7	21_07	2	M.per	2	7	58	11	0	69
21	7	21_07	2	M.per	3	10	63	9	0	72
21	7	21_07	2	M.per	4	13	119	18	0	137
21	7	21_07	2	M.per	5	17	254	13	0	267
21	8	21_08	1	A.ner	1	3	12	4	1	17
21	8	21_08	1	A.ner	2	6	14	4	1	19
21	8	21_08	1	A.ner	3	9	46	9	1	56
21	8	21_08	1	A.ner	4	12	158	16	1	175
21	8	21_08	1	A.ner	5	16	253	19	2	274
21	9	21_09	2	A.ner	1	3	5	4	1	10
21	9	21_09	2	A.ner	2	6	26	6	1	33
21	9	21_09	2	A.ner	3	9	35	16	1	52
21	9	21_09	2	A.ner	4	12	301	24	1	326
21	9	21_09	2	A.ner	5	16	574	47	14	635
21	10	21_10	1	M.per	1	4	9	5	0	14
21	10	21_10	1	M.per	2	7	40	5	0	45
21	10	21_10	1	M.per	3	10	56	13	0	69
21	10	21_10	1	M.per	4	13	57	13	0	70
21	10	21_10	1	M.per	5	17	121	24	0	145
21	11	21_11	1	M.asc	1	3	21	0	4	25
21	11	21_11	1	M.asc	2	6	43	0	4	47
21	11	21_11	1	M.asc	3	9	49	0	3	52
21	11	21_11	1	M.asc	4	13	49	0	29	78
21	11	21_11	1	M.asc	5	17	39	0	49	88
21	12	21_12	1	A.ner	1	3	9	5	0	14
21	12	21_12	1	A.ner	2	6	28	5	0	33
21	12	21_12	1	A.ner	3	9	51	16	1	68
21	12	21_12	1	A.ner	4	13	179	17	7	203
21	12	21_12	1	A.ner	5	17	420	32	28	480
21	14	21_14	2	M.asc	1	4	19	0	4	23
21	14	21_14	2	M.asc	2	7	46	0	4	50
21	14	21_14	2	M.asc	3	10	54	0	3	57
21	14	21_14	2	M.asc	4	13	70	0	7	77
21	14	21_14	2	M.asc	5	17	178	0	34	212
21	15	21_15	1	A.asc	1	4	16	5	0	21
21	15	21_15	1	A.asc	2	7	27	6	0	33
21	15	21_15	1	A.asc	3	10	42	10	0	52
21	15	21_15	1	A.asc	4	13	76	17	0	93
21	15	21_15	1	A.asc	5	17	138	26	6	170
21	16	21_16	2	M.asc	1	5	33	0	3	36
21	16	21_16	2	M.asc	2	7	44	0	5	49
21	16	21_16	2	M.asc	3	10	77	0	10	87
21	16	21_16	2	M.asc	4	13	219	0	15	234
21	16	21_16	2	M.asc	5	18	422	0	35	457
21	17	21_17	1	M.asc	1	3	13	0	5	18
21	17	21_17	1	M.asc	2	6	57	0	5	62
21	17	21_17	1	M.asc	3	9	75	0	5	80
21	17	21_17	1	M.asc	4	12	112	0	13	125
21	17	21_17	1	M.asc	5	16	136	0	48	184
21	18	21_18	1	M.per	1	4	16	5	0	21
21	18	21_18	1	M.per	2	7	36	7	0	43
