Genotype	Replicate	Chamber	Honeydew.mass	Species	Aphid.start	Aphid.end	Exposure.time	Cumulative.aphids	day1	day2	day3	day4	day5
21	18	1	20.162	M.per	70	173	4	537.5	95.75	121.5	147.25	173	NA
23	1	1	11.4753	M.asc	24	21	4	88.5	23.25	22.5	21.75	21	NA
23	2	1	34.4948	A.ner	729	850	4	3218.5	759.25	789.5	819.75	850	NA
23	3	2	0.7208	M.per	414	581	4	2073.5	455.75	497.5	539.25	581	NA
23	4	1	0.2635	A.asc	7	17	4	53	9.5	12	14.5	17	NA
23	5	2	2.9477	A.asc	118	148	4	547	125.5	133	140.5	148	NA
23	6	2	24.7638	M.asc	70	189	4	577.5	99.75	129.5	159.25	189	NA
23	7	2	3.8583	A.asc	138	494	4	1442	227	316	405	494	NA
23	8	1	4.7524	A.asc	111	261	4	819	148.5	186	223.5	261	NA
23	9	1	1.8584	M.per	241	405	4	1374	282	323	364	405	NA
23	11	2	20.6759	A.ner	856	1218	4	4329	946.5	1037	1127.5	1218	NA
23	12	2	9.1991	M.asc	50	59	4	222.5	52.25	54.5	56.75	59	NA
23	13	1	9.2132	A.ner	215	685	4	2035	332.5	450	567.5	685	NA
23	14	1	1.4369	M.per	291	495	4	1674	342	393	444	495	NA
23	15	2	31.8515	A.ner	579	949	4	3241	671.5	764	856.5	949	NA
23	16	2	1.3796	M.per	451	894	4	2911.5	561.75	672.5	783.25	894	NA
23	18	1	23.1487	M.asc	128	204	4	702	147	166	185	204	NA
25	1	1	2.2281	A.asc	293	430	4	1514.5	327.25	361.5	395.75	430	NA
25	2	1	NA	A.asc	12	21	4	70.5	14.25	16.5	18.75	21	NA
25	4	2	4.3693	A.asc	176	277	4	956.5	201.25	226.5	251.75	277	NA
25	5	1	48.7964	A.ner	388	863	4	2739.5	506.75	625.5	744.25	863	NA
25	6	2	23.2691	M.per	195	403	4	1300	247	299	351	403	NA
25	7	1	15.1719	M.asc	89	193	4	616	115	141	167	193	NA
25	8	2	6.6739	A.ner	600	202	4	1405	500.5	401	301.5	202	NA
25	9	2	20.4819	M.asc	56	97	4	326.5	66.25	76.5	86.75	97	NA
25	10	2	14.4658	M.asc	116	268	5	1036	146.4	176.8	207.2	237.6	268
25	11	1	4.1138	M.asc	48	57	4	214.5	50.25	52.5	54.75	57	NA
25	12	2	25.1838	M.per	250	445	4	1487.5	298.75	347.5	396.25	445	NA
25	13	1	1.9907	M.per	244	407	4	1383.5	284.75	325.5	366.25	407	NA
25	15	2	1.7176	A.asc	36	64	4	214	43	50	57	64	NA
25	16	2	14.0681	A.ner	462	585	4	2155.5	492.75	523.5	554.25	585	NA
25	17	2	1.5719	M.per	223	349	4	1207	254.5	286	317.5	349	NA
25	18	1	62.6914	A.ner	452	691	4	2405.5	511.75	571.5	631.25	691	NA
27	1	1	7.3891	M.per	172	219	4	805.5	183.75	195.5	207.25	219	NA
27	3	1	6.4033	A.asc	167	292	4	980.5	198.25	229.5	260.75	292	NA
27	4	1	1.3328	A.asc	16	46	4	139	23.5	31	38.5	46	NA
27	5	2	8.1338	M.per	191	349	4	1159	230.5	270	309.5	349	NA
27	6	1	98.903	A.ner	154	378	4	1176	210	266	322	378	NA
27	7	1	8.459	M.per	147	147	4	588	147	147	147	147	NA
27	8	2	51.2936	M.asc	75	183	4	570	102	129	156	183	NA
27	9	2	21.474	A.ner	348	657	4	2164.5	425.25	502.5	579.75	657	NA
27	10	2	17.9101	A.ner	603	931	4	3232	685	767	849	931	NA
27	12	1	77.7238	A.ner	281	536	4	1761.5	344.75	408.5	472.25	536	NA
27	13	2	7.9686	A.asc	295	593	4	1925	369.5	444	518.5	593	NA
27	14	2	6.9536	M.asc	39	60	4	208.5	44.25	49.5	54.75	60	NA
27	15	1	2.7472	M.asc	25	76	4	227.5	37.75	50.5	63.25	76	NA
27	16	2	0.4845	A.asc	24	11	4	63.5	20.75	17.5	14.25	11	NA
27	17	2	1.6443	M.per	226	411	4	1366.5	272.25	318.5	364.75	411	NA
27	18	2	30.8909	M.asc	145	351	4	1095	196.5	248	299.5	351	NA
31	1	1	4.0738	A.asc	44	NA	4	NA	NA	NA	NA	NA	NA
31	2	2	2.9225	M.per	124	281	4	888.5	163.25	202.5	241.75	281	NA
31	5	1	18.5696	M.asc	82	160	4	523	101.5	121	140.5	160	NA
31	6	2	57.9392	A.ner	368	898	4	2797	500.5	633	765.5	898	NA
31	7	2	1.645	A.asc	33	140	4	399.5	59.75	86.5	113.25	140	NA
31	8	2	7.0452	A.asc	305	384	4	1417.5	324.75	344.5	364.25	384	NA
31	9	1	36.6531	A.ner	166	467	4	1416.5	241.25	316.5	391.75	467	NA
31	10	2	1.733	M.per	218	294	4	1062	237	256	275	294	NA
31	11	2	39.6347	A.ner	217	560	4	1725.5	302.75	388.5	474.25	560	NA
31	12	1	31.4009	A.asc	208	342	4	1167	241.5	275	308.5	342	NA
31	13	1	12.1903	M.per	148	230	4	797	168.5	189	209.5	230	NA
31	14	1	23.7697	A.ner	195	282	4	997.5	216.75	238.5	260.25	282	NA
31	15	1	1.1753	M.per	180	303	4	1027.5	210.75	241.5	272.25	303	NA
31	16	2	52.2657	M.asc	132	441	5	1587	193.8	255.6	317.4	379.2	441
31	17	2	2.3373	M.asc	18	21	4	79.5	18.75	19.5	20.25	21	NA
31	18	1	70.1724	M.asc	256	426	4	1449	298.5	341	383.5	426	NA
33	1	2	0.9372	M.asc	47	27	4	138	42	37	32	27	NA
33	2	2	8.2266	A.asc	164	340	4	1096	208	252	296	340	NA
33	3	2	20.9958	M.asc	35	132	4	382.5	59.25	83.5	107.75	132	NA
33	4	1	9.7494	M.asc	194	258	4	936	210	226	242	258	NA
