no,block,origin,pop,inoc,G.height1,G.height2,G.height3,G.leaves3,BA.snailsize,BA.none,BA.LA_before,BA.LA,LMA.leaflet_g,LMA.leaflet_cm2,H.n_nodules,H.nR,H.nW,H.above_g,H.roots_g,H.nodules_g
78,4,US,9,auto,8.5,10,14,5,1.8,,3.292,3.292,0.0057,3.307,4,4,0,0.1298,0.065,0.0124
79,4,US,9,int,8.5,10,16,7,1.6,,4.342,4.284,0.0086,4.584,5,5,0,0.3339,0.1381,0.0349
80,4,FI,32,auto,9,9,14,5,1.8,,5.493,3.659,0.0106,5.376,13,5,0,0.3311,0.1242,0.0571
81,5,US,9,int,6,9,13,7,1.8,,5.225,1.029,0.0102,5.689,12,5,0,0.2665,0.12,0.0242
82,5,FI,42,auto,7,12,18,5,1.9,,4.849,4.701,0.0114,5.844,12,5,0,0.33,0.101,0.028
83,5,US,8,auto,8,9,10,5,1.8,,2.296,2.296,0.0024,1.592,12,5,0,0.0793,0.065,0.0122
84,5,FI,7,int,7,14,22,6,1.9,,7.644,2.81,0.0144,8.713,30,5,0,0.4543,0.1176,0.0468
85,5,US,5,auto,7.5,8,11,5,1.7,,2.893,2.272,0.0053,2.745,4,4,0,0.136,0.0866,0.0108
86,5,FI,7,auto,6.5,8,12,5,1.7,x,2.619,0,0.0054,2.67,13,4,1,0.159,0.0728,0.0347
87,5,US,5,int,4.5,8,13,7,1.8,,5.244,4.147,0.0152,7.101,14,5,0,0.4658,0.4047,0.0618
88,5,FI,32,int,6.5,14,22,6,1.6,,6.092,0.874,0.0067,3.828,27,5,0,0.4551,0.109,0.068
89,5,US,4,auto,6.5,7,14,6,1.7,,5.372,5.241,0.0112,5.781,12,5,0,0.2863,0.1143,0.0425
90,5,US,8,int,8,10,9,8,1.9,,3.021,3.021,0.0061,2.998,17,5,0,0.1709,0.3421,0.0312
91,5,FI,27,auto,5.5,7,10,5,1.5,x,2.28,0,0.0046,2.225,11,4,1,0.0837,0.0408,0.016
92,5,US,14,int,5.5,11,19,5,1.9,x,4.054,0,0.0102,4.497,20,3,2,0.2918,0.1385,0.0236
93,5,FI,32,auto,8,15,22,5,1.8,,3.891,3.891,0.0084,4.466,21,4,1,0.1929,0.0493,0.038
94,5,FI,42,int,11.5,17,33,5,1.8,,9.564,3.797,0.0198,9.21,60,4,1,0.7965,0.2239,0.0836
95,5,FI,11,auto,8,10,12,5,1.8,x,2.369,0,0.004,1.827,13,5,0,0.1712,0.0929,0.0259
96,5,US,9,auto,7,8,9,6,1.9,,3.021,2.4,0.0038,2.864,13,2,3,0.1046,0.0374,0.0128
97,5,US,4,int,7,10,20,7,1.8,,6.832,6.832,0.0143,6.888,12,5,0,0.4937,0.2579,0.047
98,5,US,14,auto,4.5,7,6,3,1.8,,1.988,1.39,0.004,1.92,3,3,0,0.0323,0.0173,0.001
99,5,FI,27,int,7.5,13,32,5,1.6,,6.572,5.618,0.0137,7.678,31,5,0,0.5174,0.107,0.0534
100,5,FI,11,int,5,10,23,5,1.7,,5.65,5.65,0.0137,6.142,10,5,0,0.3659,0.1817,0.034
101,6,FI,11,int,8,12,22,5,1.8,,6.638,1.342,0.019,5.53,10,5,0,0.4001,0.2259,0.0177
102,6,US,8,auto,9,9,9,5,1.7,x,2.252,0,0.0047,2.349,12,5,0,0.0718,0.0657,0.0141
103,6,US,14,auto,7,7,7,4,1.8,,2.566,0.336,0.0021,1.27,5,5,0,0.517,0.0133,0.0077
104,6,FI,7,int,6,11,17,6,1.7,,6.923,6.575,0.0117,,22,5,0,0.3377,0.1359,0.0914
105,6,US,5,auto,9,10,12,5,2,,2.395,2.395,0.0053,,6,5,0,0.1369,0.0572,0.0114
106,6,US,5,int,6.5,10,17,8,1.8,,4.738,4.738,0.0085,,18,5,0,0.4686,0.3565,0.0559
107,6,FI,7,auto,9,15,21,5,1.9,,3.061,1.19,0.0066,,5,5,0,0.221,0.074,0.0347
108,6,FI,32,int,8,12,22,6,1.8,,8.816,4.913,0.0132,,50,5,0,0.6161,0.1919,0.0717
109,6,US,9,int,7,9,17,6,1.8,,6.046,6.046,0.012,,9,5,0,0.3423,0.1077,0.0487
110,6,US,9,auto,8,8,8,6,1.7,,3.481,3.481,0.0064,,7,5,0,0.1248,0.0583,0.0193
111,6,FI,42,int,9,13,21,7,1.8,x,6.321,0,0.0115,,23,5,0,0.5245,0.1822,0.0613
112,6,US,14,int,7,10,17,6,1.8,,8.138,3.894,0.0158,,12,4,1,0.3742,0.2943,0.0342
113,6,FI,27,auto,6,10,16,5,1.9,,6.006,4.638,0.01,,30,5,0,0.2357,0.0525,0.0408
114,6,FI,11,auto,7.5,11,14,5,1.6,,5.435,1.465,0.0109,,15,5,0,0.1776,0.043,0.0125
115,6,US,4,auto,6,6,11,5,1.7,x,2.101,0,0.0036,,3,3,0,0.0673,0.0295,0.0111
116,6,US,4,int,6,7,15,7,1.7,,4.116,3.808,0.0106,,7,5,0,0.2929,0.2114,0.025
117,6,US,8,int,8,11,16,9,1.8,,7.263,4.803,0.0168,,8,5,0,0.604,0.4649,0.0728
118,6,FI,42,auto,9,13,16,4,1.8,x,4.239,0,0.0072,,10,5,0,0.1842,0.0838,0.0145
119,6,FI,32,auto,4,11,15,4,1.7,,4.364,4.28,0.0118,,22,5,0,0.2362,0.0575,0.0324
120,6,FI,27,int,9,13,18,4,1.7,,5.851,3.213,0.0185,,11,5,0,0.3876,0.1808,0.0403
121,7,FI,7,auto,8,12,18,5,1.6,,4.743,2.915,0.0088,,7,5,0,0.2291,0.0535,0.0174
122,7,FI,7,int,7,11,21,5,1.7,,6.847,4.965,0.0153,6.858,20,5,0,0.3585,0.1539,0.0508
123,7,US,8,auto,9,9,10,6,1.8,,3.457,3.457,0.0033,1.823,5,5,0,0.1274,0.0746,0.012
124,7,FI,11,auto,3.5,9,16,5,1.8,,5.596,5.262,0.0094,4.959,7,5,0,0.2272,0.0977,0.0295
125,7,US,9,auto,4.5,6,,,1.6,,,,,,,,,,,
126,7,FI,27,auto,6,12,15,8,1.9,x,2.089,0,0.0042,1.841,3,3,0,0.0714,0.0285,0.0033
127,7,FI,11,int,8,14,25,6,1.9,,7.084,3.181,0.0131,7.335,17,5,0,0.6159,0.1156,0.0748
128,7,FI,42,auto,9,11,16,5,2,,3.789,2.682,0.009,4.325,10,5,0,0.1817,0.0707,0.0194
129,7,FI,27,int,5.5,12,24,5,1.9,x,8.071,0,0.0192,9.975,22,5,0,0.602,0.1943,0.0776
130,7,US,5,auto,10,8,9,4,1.9,,2.19,2.19,0.0028,1.512,1,1,0,0.0652,0.0447,0.0085
131,7,US,14,auto,9,11,11,4,1.9,,1.912,1.912,0.0024,0.742,2,2,0,0.0596,0.0731,0.0036
132,7,FI,42,int,7,11,20,5,1.8,,5.237,,0.0097,4.892,6,5,0,0.3409,0.1222,0.0419
133,7,US,4,int,2,5,13,6,1.7,,4.301,,0.0052,3.761,1,1,0,0.1368,0.0672,0.0051
134,7,FI,32,int,9,13,23,6,1.9,,8.131,3.737,0.0194,9.875,12,5,0,0.4781,0.1274,0.0592
135,7,US,9,int,8,8,14,7,1.8,,3.834,3.834,0.0081,4.401,2,2,0,0.2461,0.1779,0.0247
136,7,FI,32,auto,6,11,14,4,2,x,3.39,0,0.0078,3.103,2,1,1,0.1396,0.0724,0.0145
137,7,US,8,int,10,11,18,8,1.8,,8.059,7.136,0.0185,10.644,7,5,0,0.5652,0.3268,0.0898
